Código (SKU);Descrição;Preço;URL imagem externa 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0009053;Cpu Gamer I9 10900 10º Ger Mem 128 Gb Nvme 500 Rtx 3060 12g;12219;https://http2.mlstatic.com/D_783112-MLB52396908751_112022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0009054;Cpu Gamer I9 10900 10ºger Mem 32 Gb Nvme 500 Rtx 3060 12g;9899;https://http2.mlstatic.com/D_710693-MLB52396917795_112022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0009055;Cpu Gamer I9 10900 10ºger Mem 16 Gb Nvme 500 Rtx 3060 12g;9349;https://http2.mlstatic.com/D_940532-MLB52396924993_112022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0009056;Pc Gamer Intel I9 10900 10 Ger Mem 16g Nvme 500 Rtx 3070 8g;10399;https://http2.mlstatic.com/D_829887-MLB52396987600_112022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0009057;Pc Gamer Intel I9 10900 10 Ger Mem 32g Nvme 500 Rtx 3070 8g;10699;https://http2.mlstatic.com/D_958816-MLB52396995288_112022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0009058;Pc Gamer Intel I9 10900 10 Ger Mem 64g Nvme 500 Rtx 3070 8g;11649;https://http2.mlstatic.com/D_984131-MLB52397007903_112022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0009059;Pc Gamer Intel I9 10900 10 Ger Mem 128g Nvme 500 Rtx 3070 8g;13229;https://http2.mlstatic.com/D_692907-MLB52397020972_112022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0009060;Pc Gamer Intel I9 10900 10 Ger Mem 128g Nvme500 Rtx 3080 12g;14659;https://http2.mlstatic.com/D_996218-MLB52397044242_112022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0009061;Pc Gamer Intel I9 10900 10 Ger Mem 64g Nvme500 Rtx 3080 12g;13659;https://http2.mlstatic.com/D_618079-MLB52397052163_112022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0009062;Pc Gamer Intel I9 10900 10 Ger Mem 32g Nvme500 Rtx 3080 12g;12589;https://http2.mlstatic.com/D_919482-MLB52397059201_112022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0009063;Pc Gamer Intel I9 10900 10 Ger Mem 16g Nvme500 Rtx 3080 12g;12389;https://http2.mlstatic.com/D_790410-MLB52397066657_112022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0009064;Pc Gamer Intel I9 12900k 12 Ger 16g Ddr5 Nvme 500 Rtx 3060;14579;https://http2.mlstatic.com/D_645601-MLB52397089554_112022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0009065;Pc Gamer Intel I9 12900k 12 Ger 32g Ddr5 Nvme 500 Rtx 3060;15759;https://http2.mlstatic.com/D_654777-MLB52397110469_112022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0009066;Pc Gamer Intel I9 12900k 12 Ger 64g Ddr5 Nvme 500 Rtx 3060;15129;https://http2.mlstatic.com/D_778850-MLB52397122167_112022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0009067;Pc Gamer Intel I9 12900k 12 Ger 64g Ddr5 Nvme 500 Rtx3070 8g;16329;https://http2.mlstatic.com/D_912715-MLB52397135525_112022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0009068;Pc Gamer Intel I9 12900k 12 Ger 32g Ddr5 Nvme 500 Rtx3070 8g;15689;https://http2.mlstatic.com/D_733774-MLB52397154801_112022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0009069;Pc Gamer Intel I9 12900k 12 Ger 16g Ddr5 Nvme 500 Rtx3070 8g;14819;https://http2.mlstatic.com/D_904161-MLB52397187299_112022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0009070;Pc Gamer Intel I9 12900k 12ger 16g Ddr5 Nvme 500 Rtx3080 12g;16199;https://http2.mlstatic.com/D_933629-MLB52397192880_112022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0009071;Pc Gamer Intel I9 12900k 12ger 32g Ddr5 Nvme 500 Rtx3080 12g;16759;https://http2.mlstatic.com/D_653036-MLB52397198851_112022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0009072;Pc Gamer Intel I9 12900k 12ger 64g Ddr5 Nvme 500 Rtx3080 12g;18379;https://http2.mlstatic.com/D_864103-MLB52397212762_112022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0009073;Pc Gamer Intel I9 12900k 12ger 64g Ddr5 Nvme 500 Rtx 3050 8g;13999;https://http2.mlstatic.com/D_722724-MLB52397224499_112022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0009074;Pc Gamer Intel I9 12900k 12ger 32g Ddr5 Nvme 500 Rtx 3050 8g;12839;https://http2.mlstatic.com/D_740596-MLB52397241591_112022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0009075;Pc Gamer Intel I9 12900k 12ger 16g Ddr5 Nvme 500 Rtx 3050 8g;12349;https://http2.mlstatic.com/D_678095-MLB52397257095_112022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0009076;Pc Cpu Gamer Amd Ryzen 9 5900x X570 Nvme 1tb 64gb Rtx 3070;14699;https://http2.mlstatic.com/D_967790-MLB52397237217_112022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0009077;Pc Cpu Gamer Amd Ryzen 9 5900x X570 Nvme 1tb 32gb Rtx 3070;13099;https://http2.mlstatic.com/D_835144-MLB52397257190_112022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0009078;Cpu Intel / Core I7 / 16gb / Hd 1000gb / Gabinete Atx / Wifi;1659;https://http2.mlstatic.com/D_780389-MLB52397492851_112022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0009079;Pc Servidor 13ª Ger I9 13900k Z690 32gb Ddr5 Nvme 1tb +nf;9719;https://http2.mlstatic.com/D_917761-MLB52465078335_112022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0009080;Pc Servidor 13ª Ger I9 13900k Z690 64gb Ddr5 Nvme 1tb +nf;12959;https://http2.mlstatic.com/D_928757-MLB52465113543_112022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0009081;Pc Servidor 13ª Ger I9 13900k Z690 16gb Ddr5 Nvme 1tb +nf;10399;https://http2.mlstatic.com/D_888433-MLB52465148959_112022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0009082;Pc Servidor 13ª Ger I9 13900k B660 16gb Nvme500 +nf;8679;https://http2.mlstatic.com/D_875503-MLB52465213001_112022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0009083;Pc I7 12700 12ª Geração Plac Quadro T600 4gb 128 Bits Me 64g;7699;https://http2.mlstatic.com/D_945925-MLB52465357404_112022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0009084;Pc I5 12400 12ª Geração Plac Quadro 32g Ssd480gb Fonte Real;5649;https://http2.mlstatic.com/D_856687-MLB52465412177_112022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0009085;Pc Servidor 13ª Ger I9 13900k B660 128gb Nvme500 +nf;12299;https://http2.mlstatic.com/D_933908-MLB52465466418_112022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0009086;Pc Gamer  I9 13900k 13ª Ger B660 128gb Nvme500 Rtx 2060;14899;https://http2.mlstatic.com/D_961153-MLB52465604440_112022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0009087;Pc Gamer  I9 13900k 13ª Ger B660 64gb Nvme500 Rtx 2060;13189;https://http2.mlstatic.com/D_775463-MLB52465675627_112022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0009088;Pc Gamer  I9 13900k 13ª Ger B660 32gb Nvme500 Rtx 2060;12359;https://http2.mlstatic.com/D_836483-MLB52465689474_112022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0009089;Pc Gamer  I9 13900k 13ª Ger B660 16gb Nvme500 Rtx 2060;11799;https://http2.mlstatic.com/D_747816-MLB52465708932_112022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0009090;Pc Gamer I9 13900k 13ª Ger B660 16gb Nvme500 Rtx 3070 8gb;13299;https://http2.mlstatic.com/D_628537-MLB52465776596_112022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0009091;Pc Gamer I9 13900k 13ª Ger B660 32gb Nvme500 Rtx 3070 8gb;13859;https://http2.mlstatic.com/D_743216-MLB52465843276_112022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0009092;Pc Gamer I9 13900k 13ª Ger B660 64gb Nvme500 Rtx 3070 8gb;15899;https://http2.mlstatic.com/D_633246-MLB52465880244_112022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0009093;Pc Gamer I9 13900k 13ª Ger B660 128gb Nvme500 Rtx 3070 8gb;17999;https://http2.mlstatic.com/D_904754-MLB52465927646_112022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0009094;Pc Gamer I9 13900k 13ª Ger B660 128gb Nvme500 Rtx 3060 12g;15889;https://http2.mlstatic.com/D_670692-MLB52466013532_112022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0009095;Pc Gamer I9 13900k 13ª Ger B660 64gb Nvme500 Rtx 3060 12g;15599;https://http2.mlstatic.com/D_610863-MLB52466052147_112022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0009096;Pc Gamer I9 13900k 13ª Ger B660 32gb Nvme500 Rtx 3060 12g;11889;https://http2.mlstatic.com/D_649731-MLB52466089278_112022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0009097;Pc Servidor 10º Ger. Intel Core I9 10900 Mem 32gb Nvme 500;5629;https://http2.mlstatic.com/D_780196-MLB52467955670_112022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0009098;Pc Servidor 10º Ger. Intel Core I9 10900 Mem 64gb Nvme 500;6199;https://http2.mlstatic.com/D_613033-MLB52469006084_112022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0009099;Pc Servidor 10º Ger. Intel Core I9 10900 Mem 128gb Nvme 500;7699;https://http2.mlstatic.com/D_931102-MLB52469056500_112022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0009100;Pc Servidor 10º Ger. Intel Core I9 10900 Mem 8gb Nvme 500;5079;https://http2.mlstatic.com/D_732235-MLB52469106329_112022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0009101;Pc Gamer Intel Core I7 8gb Geforce Gt 730 2gb Ssd 240gb Wifi;2298;https://http2.mlstatic.com/D_898571-MLB52525069707_112022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0009102;Pc Gamer Intel Core I7 16g Geforce Gt 730 2gb Ssd 240gb Wifi;2417;https://http2.mlstatic.com/D_855636-MLB52525167346_112022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0009103;Pc Gamer Intel Core I7 8gb Geforce Gt 730 2gb Ssd 480gb Wifi;2268;https://http2.mlstatic.com/D_965363-MLB52525607095_112022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0009104;Pc Gamer Intel Core I7 16g Geforce Gt 730 2gb Ssd 480gb Wifi;2502;https://http2.mlstatic.com/D_839824-MLB52526261783_112022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0009105;Pc Gamer Intel Core I7 8g Geforce Gtx 1650 4g Ssd 240gb Wifi;3199;https://http2.mlstatic.com/D_999295-MLB52526626687_112022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0009106;Pc Gamer Intel Core I7 16g Geforce Gtx 1650 4g Ssd 240g Wifi;3299;https://http2.mlstatic.com/D_868211-MLB52554754937_112022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0009107;Pc Gamer Intel Core I7 8g Geforce Gtx 1650 4g Ssd 480g Wifi;3417;https://http2.mlstatic.com/D_686702-MLB52554949383_112022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0009108;Pc Gamer Intel Core I7 16g Geforce Gtx 1650 4g Ssd 480g Wifi;3390;https://http2.mlstatic.com/D_920752-MLB52555082508_112022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0009109;Pc Gamer Intel Core I7 16g Geforce Gtx 1650 4g Ssd 1tb Wifi;3889;https://http2.mlstatic.com/D_954401-MLB52555670484_112022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0009110;Pc Gamer Intel Core I7 16g Geforce Gtx 1660 6g Ssd 480g Wifi;3776;https://http2.mlstatic.com/D_993407-MLB52556336444_112022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0009112;Pc Desktop Cpu 12ª Geração I7 12700f Ssd 1tb Rx550 4gb;6724;https://http2.mlstatic.com/D_723185-MLB50268719315_062022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0009113;Pc Desktop Cpu  I7 12700f 12ª Ger 32gb Ssd 1tb Gtx 1660 6g;7590;https://http2.mlstatic.com/D_643849-MLB52597868245_112022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0009114;Pc Desktop Cpu  I7 13700k 13ª Ger Z690 32g Ddr5 Ssd 1tb 600w;8890;https://http2.mlstatic.com/D_660410-MLB52752326063_122022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0009115;Pc Desktop Cpu 13ª Ger I7 13700kf 32g Ssd 500gb Rtx3060 12g;11955;https://http2.mlstatic.com/D_677524-MLB52769560627_122022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0009116;Pc Servidor Intel Core I9 10900 Mem 64gb Ssd Nvme 500gb + Nf;6876;https://http2.mlstatic.com/D_673168-MLB52772488269_122022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0009117;Cpu Gamer 9ª Geração I9 9900 /b360 /ssd 1 Tb/ 32g / Gt210 1g;5890;https://http2.mlstatic.com/D_859645-MLB47448781240_092021-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0009118;Pc Desktop Intel 10ª Geração I5 10400 H410 16g Ssd 480 Hd1tb;3430;https://http2.mlstatic.com/D_706419-MLB52194389296_102022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0009119;Pc Servidor 13ª Ger I9 13900k Z690 64gb Ddr5 Nvme 1tb 240mm;12690;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0009120;Pc Desktop 11ª Ger I7 11700 / 16gb / Ssd 480gb / Wifi+ Nf;4669;https://http2.mlstatic.com/D_696643-MLB51374462318_092022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0009121;Cpu Gamer  I9 10900 10º Ger. Mem 32 Gb Nvme 1tb Rtx 3050 4gb;8769;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0009122;Pc Servidor Intel Core I9 10900 Mem 32gb Ssd 1tb Gtx 1660 6g;7579;https://http2.mlstatic.com/D_869604-MLB51406760297_092022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0009123;Pc Gamer I9 13900kf 13ª Ger B660 128g Nvme 1tb Rtx 3070 8gb;18104;https://http2.mlstatic.com/D_961542-MLB53125792963_012023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0009124;Pc Gamer 13ª Ger I5 13600k Z790 32gb Ddr5 Nvme 1tb Rtx 3070;14155;https://http2.mlstatic.com/D_993953-MLB53196735782_012023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0009125;Pc Desktop Cpu 12ª Geração I5 12400f Ssd 240gb S/ Vga;3504;https://http2.mlstatic.com/D_997523-MLB49567292363_042022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0009126;Pc Gamer Intel Core I9 9900 16 Gb Ssd 480 Gtx  1650 Wifi;7319;https://http2.mlstatic.com/D_829064-MLB53230494783_012023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0009127;Pc Servidor  Intel Core I9 9900 16 Gb Ssd 480 Wifi;5179;https://http2.mlstatic.com/D_926309-MLB53230547649_012023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0009128;Pc Gamer 13ª Ger I9 13900kf Z790 32gb Ddr5 Nvme 1tb Rtx 3060;13485;https://http2.mlstatic.com/D_993953-MLB53196735782_012023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0009129;Pc Gamer 13ª Ger I9 13900kf Z790 64gb Ddr5 Nvme 1tb Rtx 3060;16873;https://http2.mlstatic.com/D_993953-MLB53196735782_012023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0009130;Pc Gamer 13ª Ger I9 13900kf Z790 128g Ddr5 Nvme 1tb Rtx 3060;20685;https://http2.mlstatic.com/D_993953-MLB53196735782_012023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0009131;Pc Gamer 13ª Ger I9 13900kf Z790 32gb Ddr5 Nvme 1tb Rtx 3070;16296;https://http2.mlstatic.com/D_993953-MLB53196735782_012023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0009132;Pc Gamer 13ª Ger I9 13900kf Z790 64gb Ddr5 Nvme 1tb Rtx 3070;17913;https://http2.mlstatic.com/D_993953-MLB53196735782_012023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0009133;Pc Gamer 13ª Ger I9 13900kf Z790 128g Ddr5 Nvme 1tb Rtx 3070;21035;https://http2.mlstatic.com/D_993953-MLB53196735782_012023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0009134;Pc Gamer 13ª Ger I9 13900kf Z790 32gb Ddr5 Nvme 1tb Rtx 3080;18915;https://http2.mlstatic.com/D_993953-MLB53196735782_012023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0009135;Pc Gamer 13ª Ger I9 13900kf Z790 64gb Ddr5 Nvme 1tb Rtx 3080;19541;https://http2.mlstatic.com/D_993953-MLB53196735782_012023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0009136;Pc Gamer 13ª Ger I7 13700kf Z790 16gb Ddr5 Nvme 500 Gtx 1660;10999;https://http2.mlstatic.com/D_660156-MLB53351694525_012023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0009137;Pc Gamer 13ª Ger I7 13700kf Z790 32gb Ddr5 Nvme 1tb Gtx 1660;11407;https://http2.mlstatic.com/D_727705-MLB53351361047_012023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0009138;Pc Gamer I7 13700kf 13ª Ger Z790 16gb Ddr5 Ssd 1tb Gtx 1660;11172;https://http2.mlstatic.com/D_629180-MLB53351695425_012023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0009139;Pc Gamer 13ª Ger I7 13700kf Z790 16gb Ddr5 Nvme 500 Rtx 2060;11422;https://http2.mlstatic.com/D_727705-MLB53351361047_012023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0009140;Pc Gamer 13ª Ger I7 13700kf Z790 32gb Ddr5 Nvme 500 Rtx 2060;11349;https://http2.mlstatic.com/D_727705-MLB53351361047_012023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0009141;Pc Gamer 13ª Ger I7 13700kf Z790 32gb Ddr5 Ssd 1tb Rtx 2060;12063;https://http2.mlstatic.com/D_727705-MLB53351361047_012023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0009142;Pc Gamer 13ª Ger I7 13700kf Z790 16gb Ddr5 Ssd 1tb Rtx 2060;11122;https://http2.mlstatic.com/D_727705-MLB53351361047_012023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0009143;Pc Gamer 13ª Ger I7 13700kf Z790 16gb Ddr5 Ssd 1tb Rtx 2060;11612;https://http2.mlstatic.com/D_727705-MLB53351361047_012023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0009145;Pc Servidor 13ª Ger I9 13900k Z 790 Mem128 Ddr5 Rtx 4090 24g;37900;https://http2.mlstatic.com/D_701635-MLB53381654613_012023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0009147;Pc Servidor 13ª Ger I9 13900k Z690 16gb Ddr5 Ssd Nvme 1tb+nf;10253;https://http2.mlstatic.com/D_933255-MLB53480718561_012023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0009148;Cpu Gamer 9ª Geração I9 9900 /b360 /ssd 1 Tb/ 32gb 750w;6512;https://http2.mlstatic.com/D_859645-MLB47448781240_092021-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0009149;Pc Gamer I9 13900k 13ª Ger B660 128gb Nvme 2tb Rtx 3060 12g;16340;https://http2.mlstatic.com/D_724055-MLB52466014687_112022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0009150;Pc Desktop Cpu 12ª Geração I7 12700f Ssd 240gb S/ Video;5020;https://http2.mlstatic.com/D_968446-MLB50998525092_082022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0009151;Pc Desktop Cpu 12ª Geração I7 12700f 32gb Ssd 240gb S/ Video;5379;https://http2.mlstatic.com/D_968446-MLB50998525092_082022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0009153;Pc Desktop 11ª Ger I7 11700 / 16gb / Ssd 240gb Win Original;4819;https://http2.mlstatic.com/D_696643-MLB51374462318_092022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0009154;Pc Gamer  Intel Core I9 9900 Me32gb Ssd 480 Video 3060 12g;10049;https://http2.mlstatic.com/D_811967-MLB52177913558_102022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0009155;Pc Servidor Cpu I5 12400 12ª Geração 64g Ssd 1tb 500w Real;4790;https://http2.mlstatic.com/D_943635-MLB49534753033_032022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0009156;Pc Gamer I9 13900k 64gb Ddr5 Nvme 2tb Rtx 4080 Fonte 1000w;27837;https://http2.mlstatic.com/D_745034-MLB54201639281_032023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0009157;Pc Gamer Intel I9 12900k 12ger 32g Ddr5 1tb Rtx3080 12g 850w;17070;https://http2.mlstatic.com/D_943558-MLB52397195943_112022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0009158;Pc Gamer I9 13900k 64gb Ddr5 Nvme 2tb Rtx 3070 Fonte 850w;20390;https://http2.mlstatic.com/D_650603-MLB54201540614_032023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0009159;Computador Cpu Pc I5 13ª Ger 13400 8gb Ssd 240g 500w Wifi;3830;https://http2.mlstatic.com/D_800625-MLB54338880852_032023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0009160;Computador Cpu Pc I5 13ª Ger 13400 16gb Ssd 480g 500w Wifi;4057;https://http2.mlstatic.com/D_759893-MLB54339015120_032023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0009161;Computador Cpu Pc I5 13ª Ger 13400 16gb Ssd  1tb 500w Wifi;4254;https://http2.mlstatic.com/D_665736-MLB54339828580_032023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0009162;Computador Cpu Pc I5 13ª Ger 13400 32gb Ssd  1tb 500w Wifi;4553;https://http2.mlstatic.com/D_871635-MLB54339896990_032023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0009163;Pc Desktop Cpu 13ª Geração I5 13400f Ssd 500gb Gt730 4gb Nf;4199;https://http2.mlstatic.com/D_781327-MLB54340763806_032023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0009164;Cpu Gamer Core I5 13ª Ger 16gb Ssd 500 Gtx 1650 4gb 500w;5364;https://http2.mlstatic.com/D_792680-MLB54340561702_032023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0009165;Pc Servidor 13ª Ger I9 13900k Z690 32gb Ddr5 Nvme 1t +nf;14000;https://http2.mlstatic.com/D_921869-MLB52465076627_112022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
